Species_name
Brachypodium
Brachypodium pinnatum
Brachypodium rupestre
Brachypodium sylvaticum
Brassica
Brassica barrelieri
Brassica juncea
Brassica napus
Brassica oleracea
Brassica oleracea oleracea
Brassica oleracea viridis
Brassica rapa
Brassicaceae
Brassicales
Brassiceae
Brassicodae
Brassicoideae
Briza
Briza maxima
Briza media
Briza minor
Bromus
Bromus catharticus
Bromus commutatus
Bromus diandrus
Bromus erectus
Bromus hordeaceus
Bromus madritensis
Bromus racemosus
Bromus sitchensis
Bromus sterilis
Brugmansia
Brugmansia × candida
Brugmansia arborea
Brugmansia aurea
Brugmansia suaveolens
Brunfelsia
Bryonia cretica
Bryonia cretica dioica
Buddleja davidii
Buglossoides arvensis
Bulbocodii
Bunias erucago
Bupleurum
Bupleurum fruticosum
Bupleurum ranunculoides
Buxus sempervirens
Cakile
Cakile maritima
Cakile maritima integrifolia
Calamagrostis arenaria
Calamagrostis purpurea
Calendula
Calendula arvensis
Calendula officinalis
Callianthe
Callianthe megapotamica
Callianthe picta
Callianthemum coriandrifolium
Callitriche
Callitriche stagnalis
Calluna vulgaris
Caltha palustris
Calystegia
Calystegia sepium
Calystegia silvatica
Calystegia soldanella
Camelinodae
Campanula
Campanula arvatica
Campanula erinus
Campanula glomerata
Campanula herminii
Campanula lusitanica
Campanula patula
Campanula persicifolia
Campanula portenschlagiana
Campanula poscharskyana
Campanula rapunculoides
Campanula rapunculus
Campanula rotundifolia
Campanula scheuchzeri
Campanula trachelium
Campanuloideae
Campsis
Campsis grandiflora
Campsis radicans
Caninae
Canna
Canna indica
Caprifoliaceae
Capsella bursa-pastoris
Capsella rubella
Cardamine
Cardamine flexuosa
Cardamine hirsuta
Cardamine impatiens
Cardamine occulta
Cardamine pratensis
Cardamine raphanifolia
Cardamineae
Cardueae
Carduinae
Carduoideae
Carduus
Carduus asturicus
Carduus carlinoides
Carduus carpetanus
Carduus defloratus
Carduus nutans
Carduus pycnocephalus
Carduus tenuiflorus
Carex
Carex arenaria
Carex binervis
Carex brevicollis
Carex caryophyllea
Carex davalliana
Carex demissa
Carex demissa demissa
Carex distans
Carex disticha
Carex divulsa
Carex durieui
Carex echinata
Carex extensa
Carex flacca
Carex halleriana
Carex hirta
Carex hostiana
Carex humilis
Carex laevigata
Carex lepidocarpa
Carex leporina
