"Species_name","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"A. laenzii","A. laenzii","A. laenzii","[No match found]","","","","","",NA,"unresolved_no_match"
"A. setacea","A. setacea","A. setacea","[No match found]","","","","","",NA,"unresolved_no_match"
"A. sylvestris","A. sylvestris","A. sylvestris","[No match found]","","","","","",NA,"unresolved_no_match"
"A. tenuis","A. tenuis","A. tenuis","[No match found]","","","","","",NA,"unresolved_no_match"
"Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1","Accepted",1,"accepted_or_direct"
"acer pseudoppltnus","acer pseudoppltnus","acer pseudoppltnus","Acer","Acer","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328248-2","Accepted",0.5,"unresolved_low_score"
"Achemilla sp","Achemilla","Achemilla","Alchemilla","Alchemilla","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30008181-2","Accepted",0.96021221090168,"accepted_or_direct"
"Achillea millefolium","Achillea millefolium","Achillea millefolium","Achillea millefolium","Achillea millefolium","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2","Accepted",1,"accepted_or_direct"
"Achillea sp","Achillea","Achillea","Achillea","Achillea","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60436826-2","Accepted",1,"accepted_or_direct"
"Acinus alpinus","Acinus alpinus","Acinus alpinus","Acinos alpinus","Clinopodium alpinum","(L.) Kuntze","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444204-1","Synonym",0.9694502693699,"synonym_to_accepted"
"Adenostiles CF","Adenostiles","Adenostiles","Adenostyles","Adenostyles","Cass.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:7479-1","Accepted",0.96542355975219,"accepted_or_direct"
"Adiantum capillus-veneris","Adiantum capillus-veneris","Adiantum capillus-veneris","Adiantum capillus-veneris","Adiantum capillus-veneris","L.","Pteridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325030-2","Accepted",1,"accepted_or_direct"
"Aegonychon purpurocaruleum","Aegonychon purpurocaruleum","Aegonychon purpurocaruleum","Aegonychon purpurocaeruleum","Aegonychon purpurocaeruleum","(L.) Holub","Boraginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:112674-1","Accepted",0.99094303083965,"accepted_or_direct"
"Aethusa cinapium","Aethusa cinapium","Aethusa cinapium","Aethusa cynapium","Aethusa cynapium","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837341-1","Accepted",0.97922049354994,"accepted_or_direct"
"Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837341-1","Accepted",1,"accepted_or_direct"
"Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia eupatoria","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316550-2","Accepted",1,"accepted_or_direct"
"Agrostis capillaris","Agrostis capillaris","Agrostis capillaris","Agrostis capillaris","Agrostis capillaris","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2","Accepted",1,"accepted_or_direct"
"Agrostis capillaris CF ","Agrostis capillaris","Agrostis capillaris","Agrostis capillaris","Agrostis capillaris","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30197865-2","Accepted",1,"accepted_or_direct"
"Agrostis curtisii","Agrostis curtisii","Agrostis curtisii","Agrostis curtisii","Alpagrostis setacea","(Poir.) P.M.Peterson, Romasch., Soreng & Sylvester","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385626-1","Synonym",1,"synonym_to_accepted"
"Agrostis hesperica","Agrostis hesperica","Agrostis hesperica","Agrostis hesperica","Agrostis hesperica","Romero García, Blanca, G.López & C.Morales","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:931020-1","Accepted",1,"accepted_or_direct"
"Agrostis sp","Agrostis","Agrostis","Agrostis","Agrostis","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325863-2","Accepted",1,"accepted_or_direct"
"Aguja rectans","Aguja rectans","Aguja rectans","Aguava","Myrcia","DC. ex Guill.","Myrtaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:27399-1","Synonym",0.40042615603257,"unresolved_low_score"
"Ajuga reptans","Ajuga reptans","Ajuga reptans","Ajuga reptans","Ajuga reptans","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444664-1","Accepted",1,"accepted_or_direct"
"Alchemila catalaunica","Alchemila catalaunica","Alchemila catalaunica","Alchemilla catalaunica","Alchemilla catalaunica","Rothm.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720452-1","Accepted",0.98428510306992,"accepted_or_direct"
"Alchemilla sp","Alchemilla","Alchemilla","Alchemilla","Alchemilla","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30008181-2","Accepted",1,"accepted_or_direct"
"Alliaria petiolata","Alliaria petiolata","Alliaria petiolata","Alliaria petiolata","Alliaria petiolata","(M.Bieb.) Cavara & Grande","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1176324-2","Accepted",1,"accepted_or_direct"
"Allium ericeotrum","Allium ericeotrum","Allium ericeotrum","Allium ericetorum","Allium ericetorum","Thore","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:527993-1","Accepted",0.98428510306992,"accepted_or_direct"
"Allium ericetorum","Allium ericetorum","Allium ericetorum","Allium ericetorum","Allium ericetorum","Thore","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:527993-1","Accepted",1,"accepted_or_direct"
"Allium lusitanicum","Allium lusitanicum","Allium lusitanicum","Allium lusitanicum","Allium lusitanicum","Lam.","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:528348-1","Accepted",1,"accepted_or_direct"
"Allium oleraceum","Allium oleraceum","Allium oleraceum","Allium oleraceum","Allium oleraceum","L.","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:528525-1","Accepted",1,"accepted_or_direct"
"Allium victorialis","Allium victorialis","Allium victorialis","Allium victorialis","Allium victorialis","L.","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529108-1","Accepted",1,"accepted_or_direct"
"Allium vienale","Allium vienale","Allium vienale","Allium vineale","Allium vineale","L.","Amaryllidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529111-1","Accepted",0.9752518865735,"accepted_or_direct"
"Alnus lusitanica","Alnus lusitanica","Alnus lusitanica","Alnus lusitanica","Alnus lusitanica","Vít, Douda & Mandák","Betulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77164770-1","Accepted",1,"accepted_or_direct"
"Alvus lusitanica","Alvus lusitanica","Alvus lusitanica","Alnus lusitanica","Alnus lusitanica","Vít, Douda & Mandák","Betulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77164770-1","Accepted",0.96021221090168,"accepted_or_direct"
"Alyssum fastigiatum","Alyssum fastigiatum","Alyssum fastigiatum","Alyssum fastigiatum","Alyssum fastigiatum","Heywood","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:277495-1","Accepted",1,"accepted_or_direct"
"Amaranthus sp","Amaranthus","Amaranthus","Amaranthus","Amaranthus","L.","Amaranthaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327362-2","Accepted",1,"accepted_or_direct"
"Ammphila arenaria","Ammphila arenaria","Ammphila arenaria","Ammophila arenaria","Calamagrostis arenaria","(L.) Roth","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1141132-2","Synonym",0.98210117101673,"synonym_to_accepted"
"amocaeta americana","amocaeta americana","amocaeta americana","[No match found]","","","","","",NA,"unresolved_no_match"
"Anacyclus clavatus","Anacyclus clavatus","Anacyclus clavatus","Anacyclus clavatus","Anacyclus clavatus","(Desf.) Pers.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:176301-1","Accepted",1,"accepted_or_direct"
"Anagalis tenela","Anagalis tenela","Anagalis tenela","Anagallis tenella","Lysimachia tenella","L.","Primulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:700140-1","Synonym",0.94190414965856,"synonym_to_accepted"
"Anarrhinum bellidifolium","Anarrhinum bellidifolium","Anarrhinum bellidifolium","Anarrhinum bellidifolium","Anarrhinum bellidifolium","(L.) Willd.","Plantaginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:798885-1","Accepted",1,"accepted_or_direct"
"Androsace villosa","Androsace villosa","Androsace villosa","Androsace villosa","Androsace villosa","L.","Primulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:700470-1","Accepted",1,"accepted_or_direct"
"Andryala integrifolia","Andryala integrifolia","Andryala integrifolia","Andryala integrifolia","Andryala integrifolia","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:176642-1","Accepted",1,"accepted_or_direct"
"Anemone nemorosa","Anemone nemorosa","Anemone nemorosa","Anemone nemorosa","Anemonoides altaica","(Fisch. ex C.A.Mey.) Holub","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708516-1","Illegitimate",1,"fuzzy_auto"
"Anemone ","Anemone","Anemone","Anemone","Anemone","L.","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330847-2","Accepted",1,"accepted_or_direct"
"Angelica major","Angelica major","Angelica major","Angelica major","Angelica major","Lag.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837689-1","Accepted",1,"accepted_or_direct"
"Angelica pachycarpa","Angelica pachycarpa","Angelica pachycarpa","Angelica pachycarpa","Angelica pachycarpa","Lange","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837722-1","Accepted",1,"accepted_or_direct"
"Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","Angelica sylvestris","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837777-1","Accepted",1,"accepted_or_direct"
"Anthemis arvensis","Anthemis arvensis","Anthemis arvensis","Anthemis arvensis","Anthemis arvensis","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:177158-1","Accepted",1,"accepted_or_direct"
"Antho xantum odoratum","Antho xantum odoratum","Antho xantum odoratum","Xantho","Lasthenia","Cass.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:11558-1","Synonym",0.28834629804441,"unresolved_low_score"
"Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","Anthoxanthum odoratum","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389034-1","Accepted",1,"accepted_or_direct"
"Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis vulneraria","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:474795-1","Accepted",1,"accepted_or_direct"
"Antirrhinum braun-blanquetii","Antirrhinum braun-blanquetii","Antirrhinum braun-blanquetii","Antirrhinum braun-blanquetii","Antirrhinum braun-blanquetii","Rothm.","Plantaginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:799024-1","Accepted",1,"accepted_or_direct"
"Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris","Aquilegia vulgaris","L.","Ranunculaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306409-2","Accepted",1,"accepted_or_direct"
"Aquillea millefollium","Aquillea millefollium","Aquillea millefollium","Achillea millefolium","Achillea millefolium","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2","Accepted",0.90498550860639,"accepted_or_direct"
"Ar minus","Ar minus","Ar minus","[No match found]","","","","","",NA,"unresolved_no_match"
"Ar sumatrensis (Erigeron sumatrensis?)","Ar sumatrensis (Erigeron sumatrensis)","Ar sumatrensis (Erigeron sumatrensis)","[No match found]","","","","","",NA,"unresolved_no_match"
"Arabis alpina","Arabis alpina","Arabis alpina","Arabis alpina","Arabis alpina","L.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:277992-1","Accepted",1,"accepted_or_direct"
"Arbutus unedo","Arbutus unedo","Arbutus unedo","Arbutus unedo","Arbutus unedo","L.","Ericaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326526-1","Accepted",1,"accepted_or_direct"
"Arenaria erinacea","Arenaria erinacea","Arenaria erinacea","Arenaria erinacea","Arenaria erinacea","Boiss.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:151165-1","Accepted",1,"accepted_or_direct"
"Arenaria grandiflora","Arenaria grandiflora","Arenaria grandiflora","Arenaria grandiflora","Arenaria grandiflora","L.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:151252-1","Accepted",1,"accepted_or_direct"
"Arenaria moehringioides","Arenaria moehringioides","Arenaria moehringioides","Arenaria moehringioides","Arenaria moehringioides","Murr","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:151451-1","Accepted",1,"accepted_or_direct"
"Arenaria montana","Arenaria montana","Arenaria montana","Arenaria montana","Arenaria montana","L.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:151459-1","Accepted",1,"accepted_or_direct"
"Arenaria purpurascens","Arenaria purpurascens","Arenaria purpurascens","Arenaria purpurascens","Arenaria purpurascens","Ramond ex DC.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:151613-1","Accepted",1,"accepted_or_direct"
"Arenaria serpyllifolia?","Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","Arenaria serpyllifolia","L.","Caryophyllaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303826-2","Accepted",1,"accepted_or_direct"
"Arithirum filix-femina","Arithirum filix-femina","Arithirum filix-femina","[No match found]","","","","","",NA,"unresolved_no_match"
"Armeria cantabrica","Armeria cantabrica","Armeria cantabrica","Armeria cantabrica","Armeria cantabrica","Boiss. & Reut. ex Willk.","Plumbaginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:686260-1","Accepted",1,"accepted_or_direct"
"Armeria maritima","Armeria maritima","Armeria maritima","Armeria maritima","Armeria maritima","(Mill.) Willd.","Plumbaginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:19793-2","Accepted",1,"accepted_or_direct"
"Arrhenaterum elatius","Arrhenaterum elatius","Arrhenaterum elatius","Arrhenatherum elatius","Arrhenatherum elatius","(L.) P.Beauv. ex J.Presl & C.Presl","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389923-1","Accepted",0.98850510141534,"accepted_or_direct"
"Arrhenatherum elatius","Arrhenatherum elatius","Arrhenatherum elatius","Arrhenatherum elatius","Arrhenatherum elatius","(L.) P.Beauv. ex J.Presl & C.Presl","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389923-1","Accepted",1,"accepted_or_direct"
"Arum italicum","Arum italicum","Arum italicum","Arum italicum","Arum italicum","Mill.","Araceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86047-1","Accepted",1,"accepted_or_direct"
"As glicifilos","As glicifilos","As glicifilos","[No match found]","","","","","",NA,"unresolved_no_match"
"As majus","As majus","As majus","[No match found]","","","","","",NA,"unresolved_no_match"
"As marinum","As marinum","As marinum","[No match found]","","","","","",NA,"unresolved_no_match"
"As prostata","As prostata","As prostata","[No match found]","","","","","",NA,"unresolved_no_match"
"Asforesus alvus ","Asforesus alvus","Asforesus alvus","[No match found]","","","","","",NA,"unresolved_no_match"
"Asparagus prostratus","Asparagus prostratus","Asparagus prostratus","Asparagus prostratus","Asparagus prostratus","Dumort.","Asparagaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:531263-1","Accepted",1,"accepted_or_direct"
"Asphodelus albus","Asphodelus albus","Asphodelus albus","Asphodelus albus","Asphodelus albus","Mill.","Asphodelaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:531456-1","Accepted",1,"accepted_or_direct"
"Asplenium adiantum-nigrum","Asplenium adiantum-nigrum","Asplenium adiantum-nigrum","Asplenium adiantum-nigrum","Asplenium adiantum-nigrum","L.","Aspleniaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17038650-1","Accepted",1,"accepted_or_direct"
"Asplenium onopteris","Asplenium onopteris","Asplenium onopteris","Asplenium onopteris","Asplenium onopteris","L.","Aspleniaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17048600-1","Accepted",1,"accepted_or_direct"
"Asplenium ruta-muraria","Asplenium ruta-muraria","Asplenium ruta-muraria","Asplenium ruta-muraria","Asplenium ruta-muraria","L.","Aspleniaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:311563-2","Accepted",1,"accepted_or_direct"
"Asplenium scolopendrum","Asplenium scolopendrum","Asplenium scolopendrum","Asplenium scolopendrium","Asplenium scolopendrium","L.","Aspleniaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30216020-2","Accepted",0.98850510141534,"accepted_or_direct"
"Asplenium trichomanes","Asplenium trichomanes","Asplenium trichomanes","Asplenium trichomanes","Asplenium trichomanes","L.","Aspleniaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:310197-2","Accepted",1,"accepted_or_direct"
"Ast major","Ast major","Ast major","Asta","Asta","Klotzsch ex O.E.Schulz","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296566-2","Accepted",0.45701346754469,"unresolved_low_score"
"Aster squamatum","Aster squamatum","Aster squamatum","Aster squamatus","Symphyotrichum squamatum","(Spreng.) G.L.Nesom","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:24139-2","Synonym",0.98210117101673,"synonym_to_accepted"
"Aster squamosus or squamatum?","Aster squamosus or squamatum","Aster squamosus or squamatum","Aster squarrosus","Pentanema spiraeifolium","(L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:182360-1","Synonym",0.49723465129158,"unresolved_low_score"
"Astrantia major","Astrantia major","Astrantia major","Astrantia major","Astrantia major","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:838340-1","Accepted",1,"accepted_or_direct"
"Athyrium felix-femina","Athyrium felix-femina","Athyrium felix-femina","Athyrium filix-femina","Athyrium filix-femina","(L.) Roth","Aspleniaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30055316-2","Accepted",0.9694502693699,"accepted_or_direct"
"Athyrium filix-femina","Athyrium filix-femina","Athyrium filix-femina","Athyrium filix-femina","Athyrium filix-femina","(L.) Roth","Aspleniaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30055316-2","Accepted",1,"accepted_or_direct"
"Atr prostata","Atr prostata","Atr prostata","Ate","Habenaria","Willd.","Orchidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:28795-1","Synonym",0.40042615603257,"unresolved_low_score"
"Avena barbata","Avena barbata","Avena barbata","Avena barbata","Avena barbata","Pott ex Link","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:391337-1","Accepted",1,"accepted_or_direct"
"Avena sterilis","Avena sterilis","Avena sterilis","Avena sterilis","Avena sterilis","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:391787-1","Accepted",1,"accepted_or_direct"
"Avenella flexuosa","Avenella flexuosa","Avenella flexuosa","Avenella flexuosa","Avenella flexuosa","(L.) Drejer","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:391947-1","Accepted",1,"accepted_or_direct"
"Avenella flexuosa subsp. iberica","Avenella flexuosa subsp. iberica","Avenella flexuosa subsp. iberica","Avenella flexuosa subsp. iberica","Avenella flexuosa subsp. iberica","(Rivas Mart.) Valdés & H.Scholz","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77075465-1","Accepted",1,"accepted_or_direct"
"Ballota nigra","Ballota nigra","Ballota nigra","Ballota nigra","Ballota nigra","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444976-1","Accepted",1,"accepted_or_direct"
"Be officinalis","Be officinalis","Be officinalis","[No match found]","","","","","",NA,"unresolved_no_match"
"Bellis perennis","Bellis perennis","Bellis perennis","Bellis perennis","Bellis perennis","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:184409-1","Accepted",1,"accepted_or_direct"
"Berberia vulgaris","Berberia vulgaris","Berberia vulgaris","Berberis vulgaris","Berberis vulgaris","L.","Berberidaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328527-2","Accepted",0.97922049354994,"accepted_or_direct"
"Betonica officinalis","Betonica officinalis","Betonica officinalis","Betonica officinalis","Betonica officinalis","L.","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:445133-1","Accepted",1,"accepted_or_direct"
"Betula celtiberica","Betula celtiberica","Betula celtiberica","Betula celtiberica","Betula celtiberica","Rothm. & Vasc.","Betulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:107737-1","Accepted",1,"accepted_or_direct"
"Betula celtiberica/pubescens","Betula celtiberica/pubescens","Betula celtiberica/pubescens","Betula","Betula","L.","Betulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328387-2","Accepted",0.9,"accepted_or_direct"
"Betyla celtiberica","Betyla celtiberica","Betyla celtiberica","Betula celtiberica","Betula celtiberica","Rothm. & Vasc.","Betulaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:107737-1","Accepted",0.9694502693699,"accepted_or_direct"
"Bi officinalis","Bi officinalis","Bi officinalis","[No match found]","","","","","",NA,"unresolved_no_match"
"Biscutella laevigata","Biscutella laevigata","Biscutella laevigata","Biscutella laevigata","Biscutella laevigata","L.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:279040-1","Accepted",1,"accepted_or_direct"
"Bistorta officinalis","Bistorta officinalis","Bistorta officinalis","Bistorta officinalis","Bistorta officinalis","Delarbre","Polygonaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60430545-2","Accepted",1,"accepted_or_direct"
"Bituminaria bituminosa","Bituminaria bituminosa","Bituminaria bituminosa","Bituminaria bituminosa","Bituminaria bituminosa","(L.) C.H.Stirt.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:908440-1","Accepted",1,"accepted_or_direct"
"Blackstonia perfoliata","Blackstonia perfoliata","Blackstonia perfoliata","Blackstonia perfoliata","Blackstonia perfoliata","(L.) Huds.","Gentianaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:366508-1","Accepted",1,"accepted_or_direct"
"Blechnum spicant","Blechnum spicant","Blechnum spicant","Blechnum spicant","Blechnum spicant","(L.) Roth","Blechnaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30079143-2","Accepted",1,"accepted_or_direct"
"Blecnum spicant","Blecnum spicant","Blecnum spicant","Blechnum spicant","Blechnum spicant","(L.) Roth","Blechnaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17007040-1","Synonym",0.98599670627294,"synonym_to_accepted"
"Br matritensis","Br matritensis","Br matritensis","[No match found]","","","","","",NA,"unresolved_no_match"
"Brachypodium pinnatum","Brachypodium pinnatum","Brachypodium pinnatum","Brachypodium pinnatum","Brachypodium pinnatum","(L.) P.Beauv.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393166-1","Accepted",1,"accepted_or_direct"
"Brachypodium sylvaticum","Brachypodium sylvaticum","Brachypodium sylvaticum","Brachypodium sylvaticum","Brachypodium sylvaticum","(Huds.) P.Beauv.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393196-1","Accepted",1,"accepted_or_direct"
"Brassica oleracea var. sylvestris","Brassica oleracea var. sylvestris","Brassica oleracea var. sylvestris","Brassica oleracea var. sylvestris","Brassica oleracea","L.","Brassicaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2682578-4","Illegitimate",1,"fuzzy_auto"
"Briza media","Briza media","Briza media","Briza media","Briza media","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393294-1","Accepted",1,"accepted_or_direct"
"Bromus benekenii","Bromus benekenii","Bromus benekenii","Bromus benekenii","Bromus benekenii","(Lange) Trimen","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393558-1","Accepted",1,"accepted_or_direct"
"Bromus catharticus","Bromus catharticus","Bromus catharticus","Bromus catharticus","Bromus catharticus","Vahl","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:37001-2","Accepted",1,"accepted_or_direct"
"Bromus erectus","Bromus erectus","Bromus erectus","Bromus erectus","Bromus erectus","Huds.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30195095-2","Accepted",1,"accepted_or_direct"
"Bromus hordeaceus","Bromus hordeaceus","Bromus hordeaceus","Bromus hordeaceus","Bromus hordeaceus","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30016331-2","Accepted",1,"accepted_or_direct"
"Bromus matritensis","Bromus matritensis","Bromus matritensis","Bromus matritensis","Bromus rigidus","Roth","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393875-1","Synonym",1,"synonym_to_accepted"
"Bromus ordeaceus","Bromus ordeaceus","Bromus ordeaceus","Bromus hordeaceus","Bromus hordeaceus","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30016331-2","Accepted",0.98428510306992,"accepted_or_direct"
"Bromus sp ","Bromus","Bromus","Bromus","Bromus","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000273-2","Accepted",1,"accepted_or_direct"
"Bromus sterilis","Bromus sterilis","Bromus sterilis","Bromus sterilis","Bromus sterilis","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332081-2","Accepted",1,"accepted_or_direct"
"Bupleurum ranunculoides","Bupleurum ranunculoides","Bupleurum ranunculoides","Bupleurum ranunculoides","Bupleurum ranunculoides","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:839358-1","Accepted",1,"accepted_or_direct"
"Ca arenaria","Ca arenaria","Ca arenaria","Caa","Caa","H.A.Keller & Liede","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77219233-1","Accepted",0.40042615603257,"unresolved_low_score"
