"Species_name","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Liss arvensis","Liss arvensis","Liss arvensis","Lass","Pavonia","Cav.","Malvaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30012376-2","Synonym",0.45701346754469,"unresolved_low_score"
"Lithodora diffusa","Lithodora diffusa","Lithodora diffusa","Lithodora diffusa","Glandora diffusa","(Lag.) D.C.Thomas","Boraginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:117925-1","Synonym",1,"synonym_to_accepted"
"Lithodora prostrata","Lithodora prostrata","Lithodora prostrata","Lithodora prostrata","Glandora prostrata","(Loisel.) D.C.Thomas","Boraginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:117934-1","Synonym",1,"synonym_to_accepted"
"Lo arvensis","Lo arvensis","Lo arvensis","[No match found]","","","","","",NA,"unresolved_no_match"
"Lo doricnium","Lo doricnium","Lo doricnium","[No match found]","","","","","",NA,"unresolved_no_match"
"Lo penclimenum","Lo penclimenum","Lo penclimenum","[No match found]","","","","","",NA,"unresolved_no_match"
"Lo perenne","Lo perenne","Lo perenne","[No match found]","","","","","",NA,"unresolved_no_match"
"Lo precliminum","Lo precliminum","Lo precliminum","[No match found]","","","","","",NA,"unresolved_no_match"
"Lolium perenne","Lolium perenne","Lolium perenne","Lolium perenne","Lolium perenne","L.","Poaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:407493-1","Accepted",1,"accepted_or_direct"
"Lonicera periclymenum","Lonicera periclymenum","Lonicera periclymenum","Lonicera periclymenum","Lonicera periclymenum","L.","Caprifoliaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:149006-1","Accepted",1,"accepted_or_direct"
"Lonicera peryclimenum","Lonicera peryclimenum","Lonicera peryclimenum","Lonicera periclymenum","Lonicera periclymenum","L.","Caprifoliaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:149006-1","Accepted",0.9694502693699,"accepted_or_direct"
"lonofers periclimenun","lonofers periclimenun","lonofers periclimenun","[No match found]","","","","","",NA,"unresolved_no_match"
"Lotus corniculatus","Lotus corniculatus","Lotus corniculatus","Lotus corniculatus","Lotus corniculatus","L.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30179739-2","Accepted",1,"accepted_or_direct"
"Lotus pedunculatus","Lotus pedunculatus","Lotus pedunculatus","Lotus pedunculatus","Lotus pedunculatus","Cav.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:503822-1","Accepted",1,"accepted_or_direct"
