Species_name
Eliosciadium nudun
Elymus farctus
Elymus repens
En trifoliata
Ep elaborina
Ep parviflorum
Epilobium anagalidifolium ?
Epilobium ese CF
Epilobium sp
Epipactis atrorubens
Epipactis helleborine
Equisetum arvense
Equisetum ramosissimum
Equisetum sylvaticum
Equisetum telmateia
Equisetum x moorei
Er cicutaria
Er sphondilum
Erica arborea
Erica ciliaris
Erica cinerea
Erica mackayana
Erica tetralix
Erica vagans
Erigeron alpinus
Erinus alpinus
Eriophorum angustifolium
Eriophorum latifolium
Eriophorum vaginatum
Erodium glandulosum
Erucastrum nasturtiifolium
Eryngium bourgatii
Eryngium maritimum
Erysimum duriaei
Eu alioscopia
Eu europaeus
Eu paralis
Eupatorium cannabinum
Euphorbia
Euphorbia amigdaloides
Euphorbia amygdaloides
Euphorbia dulcis
Euphorbia exigua
Euphorbia flavicoma
Euphorbia peplus
Euphorbia pyrenaica
Euphrasia alpina
Euphrasia salisburgensis
Fagus sylvatica
Festuca eskia
Festuca glacialis
Festuca glacialis 
Festuca hystrix
Festuca nigrescens
Festuca picoeuropeana
Festuca ruba subsp. pruinosa
Festuca rubra
Festuca rubra subsp. pruinosa
Festuca yvesii subsp. lagascae
Ficus carica
Foeniculum vulgare
Fragaria vesca
Frangula alnus
Fraxinus excelsior
Fucus ceranoides
Fumana procumbens
Fumaria capreolata
Ga fragilis
Ga odoratum
Ga odoratum/rotundifolium
Ga palustre
Galeopsis tetrahit
Galium aparinum
Galium pumilum subsp. marchandii
Galium pyrenaicum
Galium saxatile
Galium sp
Galium verum
Ge visectum
Genista florida
Genista hispanica
Genista legionensis
Genista obtusiramea
Gentiana lutea
Gentiana lutea subsp. lutea
Gentiana occidentalis
Gentiana verna
Geranium columbinum
Geranium dissectum
Geranium molle
Geranium pyrenaicum
Geranium robertianum
Geranium sanguineum
Geum urbanum
Geum urbanus
Glandora diffusa
Gle hederacea
Glechoma hederacea
Globularia nudicaulis
Globularia repens
Gymnocarpium robertianum
Gypsophila repens
H pulcrum
H radicata
H. radicata
He cannabinum
Hedera hibernica
Hedera hivernica
Hedychium gardnerianum
Hel echioides
Helianthemum apenninum subsp. cantabricum
Helianthemum apenninum subsp. urrielense
Helianthemum canum
Helianthemum nummularium
Helictochloa CF
Helictochloa marginata
Helictotrichon cantabricum
Helictotrichon sedenense
Helleborus foetidus
Helleborus viridis
Hepatica nobilis
Heracleum sphondylium
Hernaria hirta
Hieracium bombycinum
Hieracium sp
Hippocrepis comosa
Holcus lanatus
Holcus mollis
Hordeum murinum
Hornungia alpina
Humulus lupulus
Hy sabaudum
Hymenophyllum tunbrigense
Hypericum androsaemum
Hypericum elodes
Hypericum humifusum
Hypericum pequeño?
Hypericum perfoliatum
Hypericum perforatum
Hypericum richeri
Hypo indica
Hypochaeris radicata
Iberis carnosa
Ilex aquifolium
Illecebrum verticillatum
Ipomoea indica
Iris foetidissima
Iris latifolia
Iris pseudacorus
ISolepis sp
Ja acuatica
Jacobaea aquatica
Jasione cavanillesii
Jasione laevis
Jasione montana
Juglans regia
Juncus acutiflorus
Juncus acutus
Juncus articulatus
Juncus buffonius
Juncus bufonius
Juncus conglomeratus
Juncus conglomertus 
Juncus effusus
Juncus maritimus
Juncus squarrosus
Juncus tenuis
Juniperus communis subsp. nana
Jurinea humilis
Knautia nevadensis
Kobresia myosuroides
Koeleria vallesiana
L. annua
L. communis
La decumbens
La muralis
La purpureum
La rapunculus
La virosa
Lactuca sp
Lagurus ovatus
Lamium maculatum
Lapsana communis
Laserpitium nestleri
Lathraea clandestina
Lathyrus pratensis
Laurus nobilis
Lavatera cretica
Le saxatili
Leersia oryzoides???
Lemna minor?
Leontodon hispidus
Leucanthemum ircutianum
Li fruticosa
Li japonicum
Li junceum
Li nemorum
Li salicaria
Ligustrum japonicum
Ligustrum vulgare
Limbarda crithmoides
Limodorum abortivum
Limonium binervosum
Linaria alpina 
Linaria maritima
Linaria supina
Linaria triornithophora
Linaria trriornitrofora
Linum bienne
Linum catharticum
Linum trigynum
Lipericum pulcrum
Lisomachia lemorun
Liss arvensis
Lithodora diffusa
Lithodora prostrata
Lo arvensis
Lo doricnium
Lo penclimenum
Lo perenne
Lo precliminum
Lolium perenne
Lonicera periclymenum
Lonicera peryclimenum
lonofers periclimenun
Lotus corniculatus
Lotus pedunculatus
Lufula multiflora
Luzula multiflora
Luzula pediformis
Luzula sylvatica
Luzula sylvatica subsp. henriquesii
Luzula sylvatica subsp. henriquessi
Lys maritima
Malus pumila
Malus sylvestris
Malva moschata
Malva sylvestris
Matricaria discoidea
Me acuatica
Me ciliata
Me marina
Me uniflora
Medicago lupulina
Medicago sativa
Meidcago sativa
Melanpyrum pratense
Melica uniflora
Melilotus albus
Menta acuática
Menta suaveolens
Mentha aquatica
Mentha longifolia
Mentha pulchium
Mentha suaveolens
Mercurialis perennis
Merendera montana
Meum athamanticum
Minuartia verna
Miosotis martini
Mirabilis jalapa
Molinia caerulea
Myrrhis odorata
Na officinalis
Narcissus turgidus
Nardus stricta
Narthecium ossifragum
Neoschischkinia truncatula subsp. duriaei
Neoschischkinia truncatula subsp. durieui
Oe crocata
Oe glaciobiana
Oenoreta rosesa
Olcus lanatus
Olcus molis
Olea europaea var. sylvestris
Ononis spinosa
Ophrys apifera
Origanum vulgare
Orobanche hederae
Orobanche rapum-genistae
Orobanchea sp
Os regalis
Osalix acetosella
Osmunda regalis
Oxalis acetosella
Oxalis corniculata
Oxalis latifolia
Oxytropis neglecta
P. avium
P. hieracioides
P. longifolium
P. setiferum
Pa corimbosum
Pa palustris
Pa spinosa
Pancratium maritimum
Parietaria judaica
Paronychia kapela
Paspalum dilatatum
Paspalum vaginatum
Pe saliunium
Pedicularis pyrenaica
Pedicularis sylvatica
Pen sempervirens
Pen sempervirens 
Penta sempervirens
Pentanema squarrosum
Per lapatifolia
Per maculosa
Persicaria maculosa
Petrocopsis glaucifolia
Petrocoptis wiedmannii 
Petrorhagia nanteuilii
Petrosedum sediforme
Ph americana
Ph vulgare
Phillyrea latifolia
Phleum pratense
Phragmites australis
Phy latifolia
Phyllostachys aurea
Physospermum cornubiense
Phyteuma orbiculare
Phyteuma pyrenaicum
Pi hierazoides
Pi hyerazoides
Pi major
Pi minor
Pi officinalis
Pi saxifraga
Pi saxifraga/major
Pi tobira
Picris hieracioides
Pilosella castellana
Pimpinella saxifraga
Pimpinella siifolia
Pinguicola grandiflora
Pinus pinaster
Pinus sylvestris
Pirus cordata
Pl lagopus
Plantago alpina
Plantago coronopus
Plantago coronotus
Plantago lanceolata
Plantago major
Plantago maritima
Po cambricum
Po repens
Po trivialis
Po trivialis  
Po trivialis CF
Po verticilatum
Po viridis
Po vulgaris
Poa alpina
Poa annua
Poa pratensis
Poa sp
Poa triviali
Poa trivialis
Poligonatum multiflorum
Polipodium vulgare
Polygonatum odoratum
Polygonum maritimum
Polypodium cambricum
Polypodium vulgare
Polystichum lonchitis
Polystichum setiferum
Populus nigra
Potentilla crantzii
Potentilla erecta
Potentilla reptans
Pplantgo mayor
Pr avium
Primula veris
Primula vulgaris
Prunella grandiflora
Prunella vulgaris
Prunus avium
Prunus espinosa
Prunus insititia
Prunus spinosa
Pseudarrhenatherum elatius
Pseudo longifolium
Pteridium aquilinium
Pteridium aquilinum
Pulicaria disenterica
Pulmonaria longifolia
Py cordata
Quercus faginea
Quercus faginea x pyrenaica
Quercus ilex
Quercus orocantabrica
Quercus petrea
Quercus pyrenaica
Quercus robur
Quercus rotundifolia
Quercus suber
Quercus suber NO PUEDE SER
Ra aconitifolius
Ra holostea
Ra repens
Ranunculus omiophyllus
Ranunculus parnassifolius
Ranunculus repens
Raphanus raphanistrum
Reseda glauca
Rhamnus alaternus
Rhamnus alpina
Rhamnus cathartica
Rhinanthus angustifolius
Rhinanthus minor
Rhinanthus serotinus
Robinia pseudoacacia
Rosa canina
Rosa pendula
Rosa pendulina
Rosa sempervirens
Rosa sp
Rubia peregrina
Rubus idaeus
Rubus sp
Rumex acetosa
Rumex acetosella
Rumex aquitanicus
Rumex conglomeratus
Rumex scutatus
Rumex suffruticosus
Runex acetosa
Runex conglomertus
Ruscosa coleatus
Ruscus aculaetus
Ruscus aculeatus
S spicant
S. auriculata
S. nigrum
S. oleraceous
Sa diandra
Sa europea
Sa hirsuta
Sa officinalis
Sa saginoides
Sa triandra
Sa triandra/fragilis
Sa valerandi
Sagina apetala
Salix atrocinerea
Salix atrocineria
Salix aurita
Salix breviserrata
Salix cantabrica
Salix caprea
Salix purpurea
Salix viminalis (no nativo en p.i.)?
Salsola kali
Salvia verbenaca
Sambucus nigra
Sanguisorba minor
Sanicula europaea
Santalacea pyrenaeum
Saxifraga aizoides
Saxifraga canaliculata
Saxifraga conifera
Saxifraga hirsuta
Saxifraga oppositifolia
Saxifraga paniculata
Saxifraga spathularis
Sc alpestris
Sc auriculata
Sc maritimus
Scabiosa columbaria
Schoenus nigricans
Scilla lilio-hyacinthus
Scilla simethis
Scilla verna
Scorzoneroides cantabrica
Scr scorodonia
Scr scoronoida
Scrofularia canina
Sedum  
Sedum acre
Sedum album
Sedum album/anglicum
Sedum anglicum
Sedum atratum
Sedum brevifolium
Sedum dasyphyllum
Sedum hirsutum
Sempervivum vicentei
Sen angulatus
Serratula tinctoria
Sesili libanotis
Sherardia arvensis
Sideritis hyssopifolia
Silene 
Silene  dioica
Silene acaulis
Silene ciliata
Silene dioica
Silene nutans
Silene uniflora
Silene vulgaris
Smilax aspera
Smilax áspera
So oleraceus
Solanum chenopodioides
Solanum dulcamara
Solanum nigra
Solidago virgaurea
Sonchus oleraceus
Sonchus tenerrimus
Sorbus aria
Sorbus aucuparia
Sp secondatum
Spergula sp
Spergularia marina
Sphagnum sp
Spiranthes spiralis
Spo indicus
Sporobolus indicus
St alpina
St major
St spicant
Stachys recta
Stachys sylvatica
Ste media
Ste secondatum
Stegnogramma pozoi
Stellaria graminea
Stellaria media
Stellaria olostia
Stellaria sp
Succisa fratensis
Succisa pratensis
Ta corimbosum
Tamus communis
Taraxacum sp
Taraxacum sp.
Teesdalia conferta
Teucrim scorodonia
Teucrium chamaedrys
Teucrium pyrenaicum
Teucrium scorodonia
Thymelaea ruizii
Thymus praecox
Thymus praecox subsp. ligusticus
Tilia cordata
Tilia platifilus
To arvensis
To maximum
Torilis japonica
Tradescantia fluminensis
Tradwscantia fluminensis
Tragopogon pratensis
Trataegus monigina
Tri cespitosum
Trifolium angustifolium
Trifolium arvensis
Trifolium campestre
Trifolium dubium
Trifolium pratense
Trifolium repens
Trifolium scabrum
Trifolium thalii
Trig maritinum
Trisetum flavescens
Tro majus
Trodcaris verticillatum
Ulex aquifolium
Ulex europaeus
Ulex europeus
Ulex gali
Ulex gallii
Ulmus glabra 
Umbilicua rupestris
Umbilicus rupestris
Urtica dioica
Va pyrenaica
Vaccinium mirtilus
Vaccinium myrtillus
Vaccinium uliginosum
Vandenboschia speciosa
Ve chameedris
Ve vulgaris
Veratrum album
Verbascum densiflorum
Verbascum pulverulentum
Verbascum pulvurulentum
Verbena officinalis
Verónica chaamadrix
Veronica chamaedrys
Veronica officinalis
Verónica oficinalis
Veronica sp
Veronica vadiniensis
Vetula celtibérica 
Vi aurea
Vi hirta
Vi major
Vi salicaria
Vicia cracca
Vicia sativa
Vinca difformis
Vincetoxicum hirundinaria
Viola palustris
Viola ribiniana
Viola riviniana
Viscum album
Vitis vinifera
Vitis vinífera
Vulpia bromoides
Vyp longus
Wandervergia ederacea
Woodwardia radicans
Yucca
Zantedeschia aetiopia
Zostera noltii
